"local_cloaking_4","local_cloaking_200","local_cloaking_400","local_cloaking_600","local_cloaking_800","local_cloaking_1000"
3,173,458,82,905,316
4,40,261,32,51,169
1,70,135,423,20,25
3,114,13,116,530,247
38,5,183,418,365,36
14,109,47,328,28,241
1,244,4,493,315,56
22,60,54,3,81,85
7,17,8,1160,1480,707
2,53,20,53,99,180
4,94,11,19,194,153
155,259,6,68,137,573
6,380,146,474,265,109
4,105,62,457,954,1
6,82,26,335,960,670
20,19,109,197,941,744
1,496,42,848,180,512
52,9,232,164,705,556
7,113,5,28,580,1591
7,8,45,24,494,1056
16,218,5,205,997,961
5,73,113,60,103,529
4,64,68,319,78,704
11,109,192,108,484,345
10,105,254,141,620,205
4,35,2,205,357,372
12,79,139,1,806,564
6,21,91,9,452,1226
11,268,99,38,69,1043
2,52,24,71,254,569
26,6,96,44,20,559
4,10,30,78,424,212
13,8,11,543,142,171
12,50,50,129,122,290
17,2,24,43,82,25
9,166,30,373,149,43
2,164,254,8,94,24
2,30,84,201,82,816
13,8,19,557,167,396
7,13,587,116,1416,5
1,16,175,139,21,21
30,78,734,313,223,96
3,46,35,869,803,214
1,21,591,20,63,362
49,8,361,353,355,1540
2,237,905,418,86,118
30,25,16,1004,791,139
1,498,897,292,35,870
4,63,365,401,6,833
7,9,153,339,172,309
13,142,41,77,280,98
0,35,509,1204,71,834
9,19,201,543,228,16
10,73,304,55,145,312
23,28,107,974,116,40
0,41,30,172,376,368
32,77,131,636,399,331
3,197,654,34,322,10
34,54,128,312,99,211
3,123,22,992,242,671
1,19,8,84,118,185
2,0,9,33,275,879
10,96,84,536,217,293
3,89,448,368,170,1153
1,192,340,49,69,755
1,9,112,302,945,320
41,318,51,370,1042,10
14,4,134,290,1062,353
6,109,166,618,465,177
5,56,131,108,411,658
0,63,85,465,306,40
5,18,179,288,300,11
144,48,200,268,52,89
7,225,35,481,5,2
9,47,54,222,523,178
2,13,6,39,70,303
113,649,245,67,160,66
78,293,53,103,833,139
13,122,1,1049,76,796
1,268,70,226,9,979
5,6,13,89,685,23
44,53,101,150,559,293
2,154,37,378,199,71
2,49,389,151,824,144
7,307,5,14,110,488
5,117,307,162,425,789
4,54,489,4,67,254
40,1008,553,517,559,249
1,33,71,82,258,708
2,340,238,170,234,265
1,8,66,332,853,389
5,101,51,123,632,900
23,20,453,263,1130,30
21,98,261,531,1362,1152
66,4,10,205,30,27
13,997,163,1243,399,107
24,9,792,4,266,239
0,20,374,277,25,165
2,79,11,74,495,319
0,221,17,98,865,379
10,467,99,128,325,725
9,164,139,259,113,681
7,7,57,146,49,187
2,38,68,21,117,18
3,139,258,89,203,1572
4,128,116,37,1235,136
41,2,4,385,131,1157
5,23,2,441,33,440
10,165,52,68,383,585
7,49,135,74,67,282
2,21,304,263,1,1244
6,48,549,121,1497,595
2,21,5,465,599,75
6,69,74,155,408,953
1,15,548,196,224,444
58,115,82,367,399,952
